Program,Tissue_Type,Image_Name,Vessel_Length,Vessel_Area,Mean_Diameter,Num_BranchPoints,Sensitivity,Specificity,Accuracy,umppix,pix_dim
RAVE,ing_fat,ing_fat_20x_1.tif,7353,88228,12.29450321,292,0.409558882,0.999959195,0.878712654,0.310791038,1024
RAVE,ing_fat,ing_fat_20x_2.tif,7552,88089,11.67063141,359,0.346201053,0.999894256,0.841422081,0.310791038,1024
RAVE,ing_fat,ing_fat_20x_3.tif,6592,62017,9.406072617,365,0.396248693,0.999324075,0.910185814,0.310791038,1024
RAVE,ing_fat,ing_fat_60x_1.tif,3191,30481,9.94189167,177,0.118902796,0.999968452,0.784745216,0.207194025,1024
RAVE,ing_fat,ing_fat_60x_2.tif,3152,33741,11.20747089,167,0.108098909,0.999898255,0.735025406,0.207194025,1024
RAVE,ing_fat,ing_fat_60x_3.tif,4182,45788,11.36867237,210,0.638714286,0.998898399,0.974853516,0.207194025,1024
RAVE,liver,liver_60x_1.tif,25887,324179,14.62360954,1431,0.74954832,0.991080937,0.893166542,0.207194025,1024
RAVE,liver,liver_60x_2.tif,28193,320874,13.13818836,1580,0.684122434,0.986827409,0.854711533,0.207194025,1024
RAVE,liver,liver_60x_3.tif,31459,315588,12.00615883,1854,0.657822455,0.990975167,0.841064453,0.207194025,1024
RAVE,liver,liver_60x_4.tif,37379,356404,12.05870152,2374,0.677264627,0.974217644,0.83104229,0.207194025,1024
RAVE,liver,liver_60x_5.tif,41349,387880,11.90009594,2571,0.660751423,0.929952603,0.79329586,0.207194025,1024
RAVE,liver,liver_60x_6.tif,39284,334448,10.56435394,2695,0.586835786,0.979497447,0.772568703,0.207194025,1024
RAVE,periton_cav,periton_cav_20x_1.tif,9094,122821,13.18068695,332,0.520024964,0.997548518,0.891742706,0.310791038,1024
RAVE,periton_cav,periton_cav_20x_2.tif,8891,98046,10.54916096,252,0.461902406,0.999966522,0.891076088,0.310791038,1024
RAVE,periton_cav,periton_cav_20x_3.tif,10221,124333,12.0596323,290,0.598988884,0.998118897,0.920117378,0.310791038,1024
RAVE,periton_cav,periton_cav_60x_1.tif,7304,57050,8.182231903,447,0.183311105,0.999986439,0.757637978,0.207194025,1024
RAVE,periton_cav,periton_cav_60x_2.tif,12455,103428,8.501538277,578,0.378823141,0.999912341,0.838301659,0.207194025,1024
RAVE,periton_cav,periton_cav_60x_3.tif,7401,98801,13.38473892,269,0.716626058,0.999058016,0.962245941,0.207194025,1024
RAVE,retina,retina_20x_1.tif,12746,97180,7.516928196,724,0.473572094,0.999964431,0.896981239,0.310791038,1024
RAVE,retina,retina_20x_2.tif,12382,98357,7.75276804,587,0.51470619,0.999989504,0.911559105,0.310791038,1024
RAVE,retina,retina_20x_3.tif,7105,47557,6.523290634,394,0.335593866,0.999998897,0.910209656,0.310791038,1024
RAVE,retina,retina_60x_1.tif,9884,78641,7.984852314,534,0.361617694,1,0.867602348,0.207194025,1024
RAVE,retina,retina_60x_2.tif,9812,72639,7.560092449,580,0.394310907,0.99998149,0.893598557,0.207194025,1024
RAVE,retina,retina_60x_3.tif,9866,86459,8.818061829,523,0.481472613,1,0.911200523,0.207194025,1024
Manual,diaphragm,diaphragm_60x_1.tif,4633,106141,19.92965126,19,1,1,1,0.207194025,1024
Manual,diaphragm,diaphragm_60x_2.tif,10579,296346,24.61541367,42,1,1,1,0.207194025,1024
Manual,diaphragm,diaphragm_60x_3.tif,16081,307490,16.70167351,83,1,1,1,0.207194025,1024
Manual,diaphragm,diaphragm_60x_4.tif,15595,263931,15.30638409,43,1,1,1,0.207194025,1024
Manual,diaphragm,diaphragm_60x_5.tif,9703,173545,15.56226158,7,1,1,1,0.207194025,1024
Manual,diaphragm,diaphragm_60x_6.tif,11558,186485,14.47968674,32,1,1,1,0.207194025,1024
